Process ID,Process Name,Start Time,Process Command Line,User
21772,cmd.exe,2019-03-27T13:00:03-02:40,C:\Windows\system32\cmd.exe,desktop-5eb3brj\aryeh
20200,powershell.exe,2019-03-27T13:00:03-02:40,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,desktop-5eb3brj\aryeh
