Process ID,Process Name,Start Time,Process Command Line,User
17004,cmd.exe,2019-03-26T19:46:47-02:40,C:\Windows\system32\cmd.exe,desktop-5eb3brj\aryeh
14500,powershell.exe,2019-03-26T19:46:47-02:40,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,desktop-5eb3brj\aryeh
